Navn;Stasjon;Tid(norsk normaltid);Nedbør (10 min);Lufttemperatur
Trondheim - Granåsen;SN68090;06.03.2025 13:30;0;5,6
Trondheim - Granåsen;SN68090;06.03.2025 13:40;0;5,5
Trondheim - Granåsen;SN68090;06.03.2025 13:50;0;5,4
Trondheim - Granåsen;SN68090;06.03.2025 14:00;0;5,4
Trondheim - Granåsen;SN68090;06.03.2025 14:10;0;5,3
Trondheim - Granåsen;SN68090;06.03.2025 14:20;0;5,4
Trondheim - Granåsen;SN68090;06.03.2025 14:30;0;5,3
Trondheim - Granåsen;SN68090;06.03.2025 14:40;0;5,2
Trondheim - Granåsen;SN68090;06.03.2025 14:50;0;5,1
Trondheim - Granåsen;SN68090;06.03.2025 15:00;0;5,1
Trondheim - Granåsen;SN68090;06.03.2025 15:10;0,1;5
Trondheim - Granåsen;SN68090;06.03.2025 15:20;0,1;4,5
Trondheim - Granåsen;SN68090;06.03.2025 15:30;0;4,3
Trondheim - Granåsen;SN68090;06.03.2025 15:40;0;4,6
Trondheim - Granåsen;SN68090;06.03.2025 15:50;0;4,9
Trondheim - Granåsen;SN68090;06.03.2025 16:00;0;5
Trondheim - Granåsen;SN68090;06.03.2025 16:10;0;5,1
Trondheim - Granåsen;SN68090;06.03.2025 16:20;0;5,1
Trondheim - Granåsen;SN68090;06.03.2025 16:30;0;5,1
Trondheim - Granåsen;SN68090;06.03.2025 16:40;0;5
Trondheim - Granåsen;SN68090;06.03.2025 16:50;0;5
Trondheim - Granåsen;SN68090;06.03.2025 17:00;0;5
Trondheim - Granåsen;SN68090;06.03.2025 17:10;0;4,7
Trondheim - Granåsen;SN68090;06.03.2025 17:20;0;4,6
Trondheim - Granåsen;SN68090;06.03.2025 17:30;0;4,4
Trondheim - Granåsen;SN68090;06.03.2025 17:40;0;4,2
Trondheim - Granåsen;SN68090;06.03.2025 17:50;0;4
Trondheim - Granåsen;SN68090;06.03.2025 18:00;0;3,7
Trondheim - Granåsen;SN68090;06.03.2025 18:10;0;3,3
Trondheim - Granåsen;SN68090;06.03.2025 18:20;0;3,1
Trondheim - Granåsen;SN68090;06.03.2025 18:30;0;3,6
Trondheim - Granåsen;SN68090;06.03.2025 18:40;0;3,5
Trondheim - Granåsen;SN68090;06.03.2025 18:50;0;3,1
Trondheim - Granåsen;SN68090;06.03.2025 19:00;0;2,9
Trondheim - Granåsen;SN68090;06.03.2025 19:10;0;2,8
Trondheim - Granåsen;SN68090;06.03.2025 19:20;0;2,8
Trondheim - Granåsen;SN68090;06.03.2025 19:30;0;2,5
Trondheim - Granåsen;SN68090;06.03.2025 19:40;0;3,1
Trondheim - Granåsen;SN68090;06.03.2025 19:50;0;3,1
Trondheim - Granåsen;SN68090;06.03.2025 20:00;0;2,4
Trondheim - Granåsen;SN68090;06.03.2025 20:10;0;1,7
Trondheim - Granåsen;SN68090;06.03.2025 20:20;0;1,7
Trondheim - Granåsen;SN68090;06.03.2025 20:30;0;0,9
Trondheim - Granåsen;SN68090;06.03.2025 20:40;0;0,2
Trondheim - Granåsen;SN68090;06.03.2025 20:50;0;0,1
Trondheim - Granåsen;SN68090;06.03.2025 21:00;0;0,7
Trondheim - Granåsen;SN68090;06.03.2025 21:10;0;0,1
Trondheim - Granåsen;SN68090;06.03.2025 21:20;0;1,3
Trondheim - Granåsen;SN68090;06.03.2025 21:30;0;2,9
Trondheim - Granåsen;SN68090;06.03.2025 21:40;0;3,3
Trondheim - Granåsen;SN68090;06.03.2025 21:50;0;3,4
Trondheim - Granåsen;SN68090;06.03.2025 22:00;0;3,5
Trondheim - Granåsen;SN68090;06.03.2025 22:10;0;3,6
Trondheim - Granåsen;SN68090;06.03.2025 22:20;0;3,4
Trondheim - Granåsen;SN68090;06.03.2025 22:30;0;3,2
Trondheim - Granåsen;SN68090;06.03.2025 22:40;0;3
Trondheim - Granåsen;SN68090;06.03.2025 22:50;0;2,7
Trondheim - Granåsen;SN68090;06.03.2025 23:00;0;2,3
Trondheim - Granåsen;SN68090;06.03.2025 23:10;0;2,2
Trondheim - Granåsen;SN68090;06.03.2025 23:20;0;2,1
Trondheim - Granåsen;SN68090;06.03.2025 23:30;0;2,1
Trondheim - Granåsen;SN68090;06.03.2025 23:40;0;1,9
Trondheim - Granåsen;SN68090;06.03.2025 23:50;0;1,7
Trondheim - Granåsen;SN68090;07.03.2025 00:00;0;1,6
Trondheim - Granåsen;SN68090;07.03.2025 00:10;0;1,7
Trondheim - Granåsen;SN68090;07.03.2025 00:20;0;1,8
Trondheim - Granåsen;SN68090;07.03.2025 00:30;0;1,7
Trondheim - Granåsen;SN68090;07.03.2025 00:40;0;1,5
Trondheim - Granåsen;SN68090;07.03.2025 00:50;0;1,6
Data er gyldig per 07.03.2025 (CC BY 4.0), Meteorologisk institutt (MET);;;;
